Gesamt;;;;;;;;;;;;;;;;;;
;"Einsätze 
in Tagen";"Gemessene 
Fahrzeuge";"Beanstandungen 
gesamt";"gültige
Beanstandungen ";Verwarnungen;Bußgelder;"<11 
;"Einsätze 
in Tagen";"Gemessene 
Fahrzeuge";"Beanstandungen 
gesamt";"gültige
Beanstandungen ";Verwarnungen;Bußgelder;"<11 
km/h";"11-15 
km/h";"16-20 
km/h";"21-25 
km/h";"26-30 
km/h";"31-40 
km/h";"41-50 
km/h";"51-60 
km/h";"61-70 
km/h";">70 
km/h";"schnellstes 
Fahrzeug";"voraussichtliche 
Einnahmen"
Januar;37;156.709;1.097;918;896;22;695;161;40;18;4;0;0;0;0;0;79;17.690 €
Februar;38;152.734;806;690;675;15;518;131;26;12;1;2;0;0;0;0;83;13.335 €
März;36;151.243;702;563;547;16;424;93;30;10;4;2;0;0;0;0;87;11.255 €
April;42;174.390;747;602;588;14;446;108;34;10;2;2;0;0;0;0;86;11.900 €
Mai;34;133.726;739;636;630;6;517;93;20;5;1;0;0;0;0;0;77;11.280 €
Juni;10;45.408;246;206;205;1;172;30;3;0;0;1;0;0;0;0;87;3.595 €
Juli;17;83.020;437;329;325;4;233;76;16;1;2;1;0;0;0;0;84;6.395 €
August;2;6.428;28;25;25;0;23;2;0;0;0;0;0;0;0;0;64;395 €
September;25;107.433;526;466;457;9;365;74;18;6;1;2;0;0;0;0;86;8.855 €
Oktober;19;80.724;346;284;284;0;244;35;5;0;0;0;0;0;0;0;70;4.710 €
November;13;56.958;166;125;125;0;98;25;2;0;0;0;0;0;0;0;69;2.165 €
Dezember;4;14.673;49;41;41;0;36;5;0;0;0;0;0;0;0;0;64;665 €
Gesamt;277;1.163.446;5.889;4.885;4.798;87;695;161;40;18;4;2;0;0;0;0;87;92.240
;;;;;;;;;;;;;;;;;;
Im Loh;;;;;;;;;;;;;;;;;;
;"Einsätze 
in Tagen";"Gemessene 
Fahrzeuge";"Beanstandungen 
gesamt";"gültige
Beanstandungen ";Verwarnungen;Bußgelder;"<11 
km/h";"11-15 
km/h";"16-20 
km/h";"21-25 
km/h";"26-30 
km/h";"31-40 
km/h";"41-50 
km/h";"51-60 
km/h";"61-70 
km/h";">70 
km/h";"schnellstes 
Fahrzeug";"voraussichtliche 
Einnahmen"
Januar;30;92.977;404;311;308;3;259;38;11;2;0;1;0;0;0;0;76;5.540 €
Februar;19;57.577;261;242;238;4;191;42;5;3;1;0;0;0;0;0;66;4.430 €
März;27;105.125;291;243;240;3;196;30;14;3;0;0;0;0;0;0;64;4.420 €
April;27;102.866;439;328;327;1;279;43;5;1;0;0;0;0;0;0;65;5.515 €
Mai;26;102.714;442;291;291;0;247;37;7;0;0;0;0;0;0;0;60;4.875 €
Juni;24;97.635;432;320;318;2;265;45;8;2;0;0;0;0;0;0;62;5.540 €
Juli;32;137.400;851;747;741;6;622;104;15;5;1;0;0;0;0;0;66;12.955 €
August;31;125.579;641;521;516;5;430;73;13;3;1;1;0;0;0;0;74;9.230 €
September;6;29.488;94;83;82;1;73;7;2;0;1;0;0;0;0;0;68;1.440 €
Oktober;15;58.319;172;152;152;0;126;25;1;0;0;0;0;0;0;0;57;2.550 €
November;19;68.882;185;159;158;1;133;23;2;1;0;0;0;0;0;0;64;2.720 €
Dezember;7;23.473;51;46;46;0;34;8;4;0;0;0;0;0;0;0;59;850 €
Gesamt;263;1.002.035;4.263;3.443;3.417;26;2.855;475;87;20;4;2;0;0;0;0;76;60.065 €
;;;;;;;;;;;;;;;;;;
Reichenaustraße Moschee;;;;;;;;;;;;;;;;;;
;"Einsätze 
in Tagen";"Gemessene 
Fahrzeuge";"Beanstandungen 
gesamt";"gültige
Beanstandungen ";Verwarnungen;Bußgelder;"<11 
km/h";"11-15 
km/h";"16-20 
km/h";"21-25 
km/h";"26-30 
km/h";"31-40 
km/h";"41-50 
km/h";"51-60 
km/h";"61-70 
km/h";">70 
km/h";"schnellstes 
Fahrzeug";"voraussichtliche 
Einnahmen"
Januar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
Februar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
März;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 €
April;6;37.453;69;46;43;3;35;8;0;3;0;0;0;0;0;0;74;965 €
Mai;34;263.476;394;295;287;8;226;47;14;6;1;1;0;0;0;0;84;5.795 €
Juni;29;261.273;649;564;557;7;459;72;26;5;1;1;0;0;0;0;85;10.255 €
Juli;5;39.282;41;15;15;0;13;2;0;0;0;0;0;0;0;0;64;245 €
August;33;238.853;408;304;299;5;250;38;11;3;1;0;1;0;0;0;98;5.625 €
September;10;45.226;36;10;10;0;9;1;0;0;0;0;0;0;0;0;61;160 €
Oktober;31;232.971;216;122;122;0;106;14;2;0;0;0;0;0;0;0;69;2.010 €
November;10;75.767;99;82;82;0;69;12;1;0;0;0;0;0;0;0;68;1.370 €
Dezember;31;234.075;404;333;329;4;266;53;10;2;1;1;0;0;0;0;81;6.085 €
Gesamt;189;1.428.376;2.316;1.771;1.744;27;1.433;247;64;19;4;3;1;0;0;0;98;32.510 €
;;;;;;;;;;;;;;;;;;
Reichenaustraße Casino;;;;;;;;;;;;;;;;;;
